codigo,nome,categoria,marca_peca,posicao,preco,disponivel,equivalencias
AN-0033,Amortecedor traseiro,Suspensão,Anhembi,Traseira,"296,46",sim,IB-0003;TT-0026
TT-0024,Bandeja de suspensão dianteira,Suspensão,Tietê,Dianteira direita,"136,72",sim,TT-0014
IB-0024,Bieleta da barra estabilizadora,Suspensão,Ibirapuera,Dianteira esquerda,"347,78",sim,IB-0011;IB-0017
IB-0025,Pivô de suspensão,Suspensão,Ibirapuera,Dianteira esquerda,"319,84",sim,TT-0019;JG-0014
VG-0020,Coxim do amortecedor dianteiro,Suspensão,Vergueiro,Dianteira,"130,07",sim,PJ-0029
TT-0025,Amortecedor traseiro,Suspensão,Tietê,Traseira,"151,81",sim,AN-0001
PJ-0028,Bandeja de suspensão dianteira,Suspensão,Pirajuçara,Dianteira esquerda,"151,32",sim,TT-0012;AN-0032
VG-0021,Bandeja de suspensão dianteira,Suspensão,Vergueiro,Dianteira direita,"312,70",sim,PJ-0003;PJ-0005
JG-0021,Mola helicoidal dianteira,Suspensão,Jaraguá,Dianteira,"474,55",sim,IB-0020;IB-0019
TT-0026,Amortecedor traseiro,Suspensão,Tietê,Traseira,"201,52",sim,JG-0005;AN-0033
PJ-0029,Coxim do amortecedor dianteiro,Suspensão,Pirajuçara,Dianteira,"214,99",sim,PJ-0032
AN-0034,Pivô de suspensão,Suspensão,Anhembi,Dianteira direita,"469,53",sim,TT-0018
AN-0035,Amortecedor dianteiro,Suspensão,Anhembi,Dianteira esquerda,"267,46",sim,AN-0029;TT-0008
PJ-0030,Bandeja de suspensão dianteira,Suspensão,Pirajuçara,Dianteira direita,"395,90",sim,IB-0022;VG-0010
JG-0022,Amortecedor traseiro,Suspensão,Jaraguá,Traseira,"127,65",sim,IB-0009
VG-0022,Bieleta da barra estabilizadora,Suspensão,Vergueiro,Dianteira direita,"140,85",sim,IB-0015;AN-0012
PJ-0031,Amortecedor dianteiro,Suspensão,Pirajuçara,Dianteira direita,"197,80",sim,PJ-0001
PJ-0032,Coxim do amortecedor dianteiro,Suspensão,Pirajuçara,Dianteira,"176,05",sim,VG-0011
AN-0036,Pivô de suspensão,Suspensão,Anhembi,Dianteira direita,"278,65",sim,TT-0018
PJ-0033,Mola helicoidal dianteira,Suspensão,Pirajuçara,Dianteira,"243,68",sim,IB-0019
AN-0037,Amortecedor traseiro,Suspensão,Anhembi,Traseira,"357,56",sim,IB-0012;PJ-0004
JG-0023,Mola helicoidal dianteira,Suspensão,Jaraguá,Dianteira,"143,28",sim,JG-0021
PJ-0034,Bieleta da barra estabilizadora,Suspensão,Pirajuçara,Dianteira direita,"248,12",sim,TT-0006
VG-0023,Amortecedor dianteiro,Suspensão,Vergueiro,Dianteira esquerda,"222,84",não,IB-0007
VG-0024,Coxim do amortecedor dianteiro,Suspensão,Vergueiro,Dianteira,"251,58",sim,PJ-0017
IB-0026,Bandeja de suspensão dianteira,Suspensão,Ibirapuera,Dianteira direita,"327,01",sim,JG-0001;VG-0003
JG-0024,Amortecedor dianteiro,Suspensão,Jaraguá,Dianteira esquerda,"162,83",sim,AN-0009
IB-0027,Mola helicoidal dianteira,Suspensão,Ibirapuera,Dianteira,"212,92",não,JG-0006;IB-0029
IB-0028,Amortecedor traseiro,Suspensão,Ibirapuera,Traseira,"304,87",sim,PJ-0020;PJ-0023
PJ-0035,Pivô de suspensão,Suspensão,Pirajuçara,Dianteira esquerda,"401,45",sim,AN-0031
TT-0027,Amortecedor traseiro,Suspensão,Tietê,Traseira,"325,31",sim,IB-0014;IB-0003
TT-0028,Bieleta da barra estabilizadora,Suspensão,Tietê,Dianteira direita,"252,77",sim,PJ-0002;VG-0013
AN-0038,Bandeja de suspensão dianteira,Suspensão,Anhembi,Dianteira esquerda,"122,24",sim,PJ-0028;VG-0014
VG-0025,Pivô de suspensão,Suspensão,Vergueiro,Dianteira esquerda,"472,16",sim,AN-0002;PJ-0010
IB-0029,Mola helicoidal dianteira,Suspensão,Ibirapuera,Dianteira,"267,77",sim,IB-0013;JG-0003
AN-0039,Amortecedor dianteiro,Suspensão,Anhembi,Dianteira direita,"398,31",sim,PJ-0001
IB-0030,Cilindro de roda traseiro,Freio,Ibirapuera,Traseira,"305,89",sim,TT-0053;TT-0045
PJ-0036,Pastilha de freio traseira,Freio,Pirajuçara,Traseira,"211,58",sim,JG-0036
IB-0031,Pastilha de freio dianteira,Freio,Ibirapuera,Dianteira,"163,38",sim,JG-0053;AN-0049
TT-0029,Flexível de freio dianteiro,Freio,Tietê,Dianteira esquerda,"125,73",sim,AN-0057;JG-0040
VG-0026,Cabo de freio de mão,Freio,Vergueiro,,"339,47",sim,JG-0043
IB-0032,Disco de freio dianteiro ventilado,Freio,Ibirapuera,Dianteira,"199,34",sim,TT-0046;PJ-0042
AN-0040,Disco de freio traseiro sólido,Freio,Anhembi,Traseira,"195,99",sim,PJ-0038
TT-0030,Disco de freio traseiro sólido,Freio,Tietê,Traseira,"116,99",sim,VG-0036
AN-0041,Cilindro de roda traseiro,Freio,Anhembi,Traseira,"216,51",sim,VG-0042
PJ-0037,Cabo de freio de mão,Freio,Pirajuçara,,"105,79",sim,PJ-0062
JG-0025,Pastilha de freio dianteira,Freio,Jaraguá,Dianteira,"70,27",sim,TT-0039;JG-0034
TT-0031,Flexível de freio dianteiro,Freio,Tietê,Dianteira esquerda,"326,47",sim,IB-0047
IB-0033,Pastilha de freio traseira,Freio,Ibirapuera,Traseira,"100,93",sim,TT-0055
AN-0042,Disco de freio dianteiro ventilado,Freio,Anhembi,Dianteira,"300,44",sim,IB-0034;AN-0053
JG-0026,Pastilha de freio traseira,Freio,Jaraguá,Traseira,"249,45",sim,TT-0034
IB-0034,Disco de freio dianteiro ventilado,Freio,Ibirapuera,Dianteira,"95,45",sim,IB-0042
PJ-0038,Disco de freio traseiro sólido,Freio,Pirajuçara,Traseira,"254,70",sim,TT-0037;TT-0044
VG-0027,Cabo de freio de mão,Freio,Vergueiro,,"149,10",não,JG-0043
PJ-0039,Flexível de freio dianteiro,Freio,Pirajuçara,Dianteira esquerda,"160,13",sim,JG-0040
TT-0032,Pastilha de freio dianteira,Freio,Tietê,Dianteira,"143,47",sim,JG-0050
TT-0033,Disco de freio traseiro sólido,Freio,Tietê,Traseira,"128,41",sim,AN-0059;PJ-0054
PJ-0040,Pastilha de freio traseira,Freio,Pirajuçara,Traseira,"326,92",sim,JG-0039
AN-0043,Cabo de freio de mão,Freio,Anhembi,,"115,59",sim,JG-0032;VG-0038
AN-0044,Pastilha de freio dianteira,Freio,Anhembi,Dianteira,"313,69",sim,PJ-0052
AN-0045,Cilindro de roda traseiro,Freio,Anhembi,Traseira,"278,61",sim,PJ-0058
JG-0027,Pastilha de freio traseira,Freio,Jaraguá,Traseira,"234,54",sim,IB-0053
AN-0046,Disco de freio traseiro sólido,Freio,Anhembi,Traseira,"218,18",sim,TT-0060;AN-0059
IB-0035,Pastilha de freio dianteira,Freio,Ibirapuera,Dianteira,"144,35",sim,TT-0039
VG-0028,Disco de freio dianteiro ventilado,Freio,Vergueiro,Dianteira,"120,15",sim,PJ-0055;JG-0051
VG-0029,Flexível de freio dianteiro,Freio,Vergueiro,Dianteira direita,"107,67",sim,TT-0040;AN-0048
AN-0047,Cabo de freio de mão,Freio,Anhembi,,"99,97",sim,VG-0043;IB-0038
VG-0030,Pastilha de freio traseira,Freio,Vergueiro,Traseira,"182,75",sim,TT-0055
JG-0028,Pastilha de freio dianteira,Freio,Jaraguá,Dianteira,"185,60",sim,JG-0045
PJ-0041,Flexível de freio dianteiro,Freio,Pirajuçara,Dianteira esquerda,"156,47",sim,AN-0057
JG-0029,Disco de freio traseiro sólido,Freio,Jaraguá,Traseira,"151,17",sim,JG-0041;TT-0037
JG-0030,Cilindro de roda traseiro,Freio,Jaraguá,Traseira,"193,12",sim,AN-0060;AN-0045
AN-0048,Flexível de freio dianteiro,Freio,Anhembi,Dianteira direita,"93,48",não,PJ-0060;AN-0063
JG-0031,Disco de freio dianteiro ventilado,Freio,Jaraguá,Dianteira,"196,24",sim,AN-0042;JG-0052
JG-0032,Cabo de freio de mão,Freio,Jaraguá,,"260,00",sim,JG-0048
JG-0033,Cilindro de roda traseiro,Freio,Jaraguá,Traseira,"292,53",sim,IB-0051
TT-0034,Pastilha de freio traseira,Freio,Tietê,Traseira,"132,23",sim,IB-0055;IB-0066
AN-0049,Pastilha de freio dianteira,Freio,Anhembi,Dianteira,"105,26",sim,JG-0050
TT-0035,Pastilha de freio traseira,Freio,Tietê,Traseira,"227,71",sim,IB-0060;TT-0042
IB-0036,Cilindro de roda traseiro,Freio,Ibirapuera,Traseira,"61,54",sim,PJ-0044
IB-0037,Disco de freio traseiro sólido,Freio,Ibirapuera,Traseira,"267,20",sim,TT-0060;AN-0059
AN-0050,Flexível de freio dianteiro,Freio,Anhembi,Dianteira direita,"78,67",sim,AN-0063
IB-0038,Cabo de freio de mão,Freio,Ibirapuera,,"268,12",sim,TT-0056;PJ-0051
AN-0051,Flexível de freio dianteiro,Freio,Anhembi,Dianteira direita,"275,52",sim,AN-0063
PJ-0042,Disco de freio dianteiro ventilado,Freio,Pirajuçara,Dianteira,"164,70",sim,JG-0055
JG-0034,Pastilha de freio dianteira,Freio,Jaraguá,Dianteira,"151,69",não,AN-0044
PJ-0043,Cabo de freio de mão,Freio,Pirajuçara,,"269,55",não,VG-0027;VG-0043
AN-0052,Pastilha de freio traseira,Freio,Anhembi,Traseira,"184,65",sim,AN-0061
PJ-0044,Cilindro de roda traseiro,Freio,Pirajuçara,Traseira,"165,07",não,AN-0070
TT-0036,Disco de freio dianteiro ventilado,Freio,Tietê,Dianteira,"129,96",sim,AN-0064
JG-0035,Cabo de freio de mão,Freio,Jaraguá,,"308,87",sim,JG-0043;IB-0058
VG-0031,Disco de freio traseiro sólido,Freio,Vergueiro,Traseira,"278,06",sim,PJ-0038;AN-0067
JG-0036,Pastilha de freio traseira,Freio,Jaraguá,Traseira,"182,37",sim,VG-0030
PJ-0045,Flexível de freio dianteiro,Freio,Pirajuçara,Dianteira esquerda,"239,60",sim,TT-0047
PJ-0046,Cilindro de roda traseiro,Freio,Pirajuçara,Traseira,"290,63",sim,IB-0036
JG-0037,Pastilha de freio traseira,Freio,Jaraguá,Traseira,"148,03",sim,TT-0042;TT-0034
JG-0038,Pastilha de freio dianteira,Freio,Jaraguá,Dianteira,"174,42",sim,IB-0035
IB-0039,Flexível de freio dianteiro,Freio,Ibirapuera,Dianteira direita,"212,43",sim,AN-0050;AN-0063
PJ-0047,Cabo de freio de mão,Freio,Pirajuçara,,"236,25",sim,JG-0043
VG-0032,Disco de freio dianteiro ventilado,Freio,Vergueiro,Dianteira,"181,38",não,IB-0049
TT-0037,Disco de freio traseiro sólido,Freio,Tietê,Traseira,"330,05",não,PJ-0054;VG-0036
AN-0053,Disco de freio dianteiro ventilado,Freio,Anhembi,Dianteira,"166,79",sim,VG-0028;IB-0043
JG-0039,Pastilha de freio traseira,Freio,Jaraguá,Traseira,"193,51",sim,JG-0027;TT-0048
JG-0040,Flexível de freio dianteiro,Freio,Jaraguá,Dianteira esquerda,"130,39",sim,TT-0029;TT-0047
PJ-0048,Pastilha de freio dianteira,Freio,Pirajuçara,Dianteira,"335,89",sim,AN-0049;TT-0054
AN-0054,Cabo de freio de mão,Freio,Anhembi,,"62,76",sim,IB-0054
AN-0055,Flexível de freio dianteiro,Freio,Anhembi,Dianteira esquerda,"251,14",sim,IB-0057;AN-0065
