codigo_peca,montadora,modelo,geracao,ano_inicio,ano_fim,motor
VG-0002,Volkswagen,Fox,Final,2017,2021,1.6 16V MSI EA211
IB-0003,Volkswagen,Fox,1ª geração,2003,2009,1.0 8V EA111
IB-0003,Volkswagen,Fox,1ª geração,2003,2009,1.6 8V EA111
IB-0003,Volkswagen,Fox,2ª geração,2009,2014,1.0 8V EA111
IB-0003,Volkswagen,Fox,2ª geração,2009,2014,1.6 16V EA111
IB-0003,Volkswagen,Fox,Facelift,2014,2017,1.0 12V MPI EA111
IB-0003,Volkswagen,Fox,Facelift,2014,2017,1.6 16V MSI EA111
IB-0003,Volkswagen,Fox,Final,2017,2021,1.0 12V MPI EA211
IB-0003,Volkswagen,Fox,Final,2017,2021,1.6 16V MSI EA211
JG-0001,Volkswagen,Fox,1ª geração,2003,2009,1.0 8V EA111
JG-0001,Volkswagen,Fox,1ª geração,2003,2009,1.6 8V EA111
JG-0001,Volkswagen,Fox,2ª geração,2009,2014,1.0 8V EA111
JG-0001,Volkswagen,Fox,2ª geração,2009,2014,1.6 16V EA111
JG-0001,Volkswagen,Fox,Facelift,2014,2017,1.0 12V MPI EA111
JG-0001,Volkswagen,Fox,Facelift,2014,2017,1.6 16V MSI EA111
JG-0001,Volkswagen,Fox,Final,2017,2021,1.0 12V MPI EA211
JG-0001,Volkswagen,Fox,Final,2017,2021,1.6 16V MSI EA211
TT-0001,Volkswagen,Fox,1ª geração,2003,2009,1.0 8V EA111
TT-0001,Volkswagen,Fox,1ª geração,2003,2009,1.6 8V EA111
TT-0001,Volkswagen,Fox,2ª geração,2009,2014,1.0 8V EA111
TT-0001,Volkswagen,Fox,2ª geração,2009,2014,1.6 16V EA111
TT-0001,Volkswagen,Fox,Facelift,2014,2017,1.0 12V MPI EA111
TT-0001,Volkswagen,Fox,Facelift,2014,2017,1.6 16V MSI EA111
TT-0001,Volkswagen,Fox,Final,2017,2021,1.0 12V MPI EA211
TT-0001,Volkswagen,Fox,Final,2017,2021,1.6 16V MSI EA211
AN-0003,Volkswagen,Fox,1ª geração,2003,2009,1.0 8V EA111
AN-0003,Volkswagen,Fox,1ª geração,2003,2009,1.6 8V EA111
AN-0003,Volkswagen,Fox,2ª geração,2009,2014,1.0 8V EA111
AN-0003,Volkswagen,Fox,2ª geração,2009,2014,1.6 16V EA111
AN-0003,Volkswagen,Fox,Facelift,2014,2017,1.0 12V MPI EA111
AN-0003,Volkswagen,Fox,Facelift,2014,2017,1.6 16V MSI EA111
AN-0003,Volkswagen,Fox,Final,2017,2021,1.0 12V MPI EA211
AN-0003,Volkswagen,Fox,Final,2017,2021,1.6 16V MSI EA211
AN-0004,Volkswagen,Fox,1ª geração,2003,2009,1.0 8V EA111
AN-0004,Volkswagen,Fox,1ª geração,2003,2009,1.6 8V EA111
AN-0004,Volkswagen,Fox,2ª geração,2009,2014,1.0 8V EA111
AN-0004,Volkswagen,Fox,2ª geração,2009,2014,1.6 16V EA111
AN-0004,Volkswagen,Fox,Facelift,2014,2017,1.0 12V MPI EA111
AN-0004,Volkswagen,Fox,Facelift,2014,2017,1.6 16V MSI EA111
AN-0004,Volkswagen,Fox,Final,2017,2021,1.0 12V MPI EA211
AN-0004,Volkswagen,Fox,Final,2017,2021,1.6 16V MSI EA211
JG-0002,Volkswagen,Voyage,1ª geração,2008,2012,1.0 8V EA111
JG-0002,Volkswagen,Voyage,1ª geração,2008,2012,1.6 8V EA111
JG-0002,Volkswagen,Voyage,2ª geração,2012,2016,1.0 12V MPI EA111
JG-0002,Volkswagen,Voyage,2ª geração,2012,2016,1.6 16V MSI EA111
JG-0002,Volkswagen,Voyage,Facelift,2016,2019,1.0 12V MPI EA111
JG-0002,Volkswagen,Voyage,Facelift,2016,2019,1.6 16V MSI EA111
JG-0002,Volkswagen,Voyage,Final,2019,2023,1.0 12V MPI EA211
JG-0002,Volkswagen,Voyage,Final,2019,2023,1.6 16V MSI EA211
PJ-0001,Volkswagen,Voyage,1ª geração,2008,2012,1.0 8V EA111
PJ-0001,Volkswagen,Voyage,1ª geração,2008,2012,1.6 8V EA111
PJ-0001,Volkswagen,Voyage,2ª geração,2012,2016,1.0 12V MPI EA111
PJ-0001,Volkswagen,Voyage,2ª geração,2012,2016,1.6 16V MSI EA111
PJ-0001,Volkswagen,Voyage,Facelift,2016,2019,1.0 12V MPI EA111
PJ-0001,Volkswagen,Voyage,Facelift,2016,2019,1.6 16V MSI EA111
PJ-0001,Volkswagen,Voyage,Final,2019,2023,1.0 12V MPI EA211
PJ-0001,Volkswagen,Voyage,Final,2019,2023,1.6 16V MSI EA211
AN-0005,Volkswagen,Voyage,1ª geração,2008,2012,1.0 8V EA111
AN-0005,Volkswagen,Voyage,1ª geração,2008,2012,1.6 8V EA111
AN-0005,Volkswagen,Voyage,2ª geração,2012,2016,1.0 12V MPI EA111
AN-0005,Volkswagen,Voyage,2ª geração,2012,2016,1.6 16V MSI EA111
AN-0005,Volkswagen,Voyage,Facelift,2016,2019,1.0 12V MPI EA111
AN-0005,Volkswagen,Voyage,Facelift,2016,2019,1.6 16V MSI EA111
AN-0005,Volkswagen,Voyage,Final,2019,2023,1.0 12V MPI EA211
AN-0005,Volkswagen,Voyage,Final,2019,2023,1.6 16V MSI EA211
PJ-0002,Volkswagen,Voyage,1ª geração,2008,2012,1.0 8V EA111
PJ-0002,Volkswagen,Voyage,1ª geração,2008,2012,1.6 8V EA111
PJ-0002,Volkswagen,Voyage,2ª geração,2012,2016,1.0 12V MPI EA111
PJ-0002,Volkswagen,Voyage,2ª geração,2012,2016,1.6 16V MSI EA111
PJ-0002,Volkswagen,Voyage,Facelift,2016,2019,1.0 12V MPI EA111
PJ-0002,Volkswagen,Voyage,Facelift,2016,2019,1.6 16V MSI EA111
PJ-0002,Volkswagen,Voyage,Final,2019,2023,1.0 12V MPI EA211
PJ-0002,Volkswagen,Voyage,Final,2019,2023,1.6 16V MSI EA211
AN-0006,Volkswagen,Saveiro,G5,2009,2013,1.6 8V EA111
AN-0006,Volkswagen,Saveiro,G5,2009,2013,1.6 16V EA111
AN-0006,Volkswagen,Saveiro,G6,2013,2016,1.0 12V MPI EA111
AN-0006,Volkswagen,Saveiro,G6,2013,2016,1.6 16V MSI EA111
AN-0006,Volkswagen,Saveiro,G7,2016,2021,1.6 16V MSI EA211
AN-0006,Volkswagen,Saveiro,G7,2016,2021,1.6 20V TSI EA211
AN-0006,Volkswagen,Saveiro,Atual,2021,2023,1.6 16V MSI EA211
AN-0006,Volkswagen,Saveiro,Atual,2021,2023,1.6 20V TSI EA211
VG-0003,Volkswagen,Saveiro,G5,2009,2013,1.6 8V EA111
VG-0003,Volkswagen,Saveiro,G5,2009,2013,1.6 16V EA111
VG-0003,Volkswagen,Saveiro,G6,2013,2016,1.0 12V MPI EA111
VG-0003,Volkswagen,Saveiro,G6,2013,2016,1.6 16V MSI EA111
VG-0003,Volkswagen,Saveiro,G7,2016,2021,1.6 16V MSI EA211
VG-0003,Volkswagen,Saveiro,G7,2016,2021,1.6 20V TSI EA211
VG-0003,Volkswagen,Saveiro,Atual,2021,2023,1.6 16V MSI EA211
VG-0003,Volkswagen,Saveiro,Atual,2021,2023,1.6 20V TSI EA211
JG-0003,Volkswagen,Saveiro,G5,2009,2013,1.6 8V EA111
JG-0003,Volkswagen,Saveiro,G5,2009,2013,1.6 16V EA111
JG-0003,Volkswagen,Saveiro,G6,2013,2016,1.0 12V MPI EA111
JG-0003,Volkswagen,Saveiro,G6,2013,2016,1.6 16V MSI EA111
JG-0003,Volkswagen,Saveiro,G7,2016,2021,1.6 16V MSI EA211
JG-0003,Volkswagen,Saveiro,G7,2016,2021,1.6 20V TSI EA211
JG-0003,Volkswagen,Saveiro,Atual,2021,2023,1.6 16V MSI EA211
JG-0003,Volkswagen,Saveiro,Atual,2021,2023,1.6 20V TSI EA211
VG-0004,Volkswagen,Saveiro,G5,2009,2013,1.6 8V EA111
VG-0004,Volkswagen,Saveiro,G5,2009,2013,1.6 16V EA111
VG-0004,Volkswagen,Saveiro,G6,2013,2016,1.0 12V MPI EA111
VG-0004,Volkswagen,Saveiro,G6,2013,2016,1.6 16V MSI EA111
VG-0004,Volkswagen,Saveiro,G7,2016,2021,1.6 16V MSI EA211
VG-0004,Volkswagen,Saveiro,G7,2016,2021,1.6 20V TSI EA211
VG-0004,Volkswagen,Saveiro,Atual,2021,2023,1.6 16V MSI EA211
VG-0004,Volkswagen,Saveiro,Atual,2021,2023,1.6 20V TSI EA211
IB-0004,Volkswagen,Saveiro,G5,2009,2013,1.6 8V EA111
IB-0004,Volkswagen,Saveiro,G5,2009,2013,1.6 16V EA111
IB-0004,Volkswagen,Saveiro,G6,2013,2016,1.0 12V MPI EA111
IB-0004,Volkswagen,Saveiro,G6,2013,2016,1.6 16V MSI EA111
IB-0004,Volkswagen,Saveiro,G7,2016,2021,1.6 16V MSI EA211
IB-0004,Volkswagen,Saveiro,G7,2016,2021,1.6 20V TSI EA211
IB-0004,Volkswagen,Saveiro,Atual,2021,2023,1.6 16V MSI EA211
IB-0004,Volkswagen,Saveiro,Atual,2021,2023,1.6 20V TSI EA211
TT-0002,Volkswagen,Saveiro,G5,2009,2013,1.6 8V EA111
TT-0002,Volkswagen,Saveiro,G5,2009,2013,1.6 16V EA111
TT-0002,Volkswagen,Saveiro,G6,2013,2016,1.0 12V MPI EA111
TT-0002,Volkswagen,Saveiro,G6,2013,2016,1.6 16V MSI EA111
TT-0002,Volkswagen,Saveiro,G7,2016,2021,1.6 16V MSI EA211
TT-0002,Volkswagen,Saveiro,G7,2016,2021,1.6 20V TSI EA211
TT-0002,Volkswagen,Saveiro,Atual,2021,2023,1.6 16V MSI EA211
TT-0002,Volkswagen,Saveiro,Atual,2021,2023,1.6 20V TSI EA211
IB-0005,Volkswagen,Polo,1ª geração BR,2002,2007,1.6 8V EA111
IB-0005,Volkswagen,Polo,1ª geração BR,2002,2007,1.8 20V Turbo EA111
IB-0005,Volkswagen,Polo,2ª geração BR,2007,2014,1.6 8V EA111
IB-0005,Volkswagen,Polo,2ª geração BR,2007,2014,2.0 8V EA111
IB-0005,Volkswagen,Polo,Novo Polo,2017,2020,1.0 12V MPI EA211
IB-0005,Volkswagen,Polo,Novo Polo,2017,2020,1.0 12V TSI EA211
IB-0005,Volkswagen,Polo,Novo Polo,2017,2020,1.6 16V MSI EA211
IB-0005,Volkswagen,Polo,Atual,2020,2023,1.0 12V TSI EA211
IB-0005,Volkswagen,Polo,Atual,2020,2023,1.6 16V MSI EA211
VG-0005,Volkswagen,Polo,1ª geração BR,2002,2007,1.6 8V EA111
VG-0005,Volkswagen,Polo,1ª geração BR,2002,2007,1.8 20V Turbo EA111
VG-0005,Volkswagen,Polo,2ª geração BR,2007,2014,1.6 8V EA111
VG-0005,Volkswagen,Polo,2ª geração BR,2007,2014,2.0 8V EA111
VG-0005,Volkswagen,Polo,Novo Polo,2017,2020,1.0 12V MPI EA211
VG-0005,Volkswagen,Polo,Novo Polo,2017,2020,1.0 12V TSI EA211
VG-0005,Volkswagen,Polo,Novo Polo,2017,2020,1.6 16V MSI EA211
VG-0005,Volkswagen,Polo,Atual,2020,2023,1.0 12V TSI EA211
VG-0005,Volkswagen,Polo,Atual,2020,2023,1.6 16V MSI EA211
AN-0007,Volkswagen,Polo,1ª geração BR,2002,2007,1.6 8V EA111
AN-0007,Volkswagen,Polo,1ª geração BR,2002,2007,1.8 20V Turbo EA111
AN-0007,Volkswagen,Polo,2ª geração BR,2007,2014,1.6 8V EA111
AN-0007,Volkswagen,Polo,2ª geração BR,2007,2014,2.0 8V EA111
AN-0007,Volkswagen,Polo,Novo Polo,2017,2020,1.0 12V MPI EA211
AN-0007,Volkswagen,Polo,Novo Polo,2017,2020,1.0 12V TSI EA211
AN-0007,Volkswagen,Polo,Novo Polo,2017,2020,1.6 16V MSI EA211
AN-0007,Volkswagen,Polo,Atual,2020,2023,1.0 12V TSI EA211
AN-0007,Volkswagen,Polo,Atual,2020,2023,1.6 16V MSI EA211
JG-0004,Volkswagen,Polo,1ª geração BR,2002,2007,1.6 8V EA111
JG-0004,Volkswagen,Polo,1ª geração BR,2002,2007,1.8 20V Turbo EA111
JG-0004,Volkswagen,Polo,2ª geração BR,2007,2014,1.6 8V EA111
JG-0004,Volkswagen,Polo,2ª geração BR,2007,2014,2.0 8V EA111
JG-0004,Volkswagen,Polo,Novo Polo,2017,2020,1.0 12V MPI EA211
JG-0004,Volkswagen,Polo,Novo Polo,2017,2020,1.0 12V TSI EA211
JG-0004,Volkswagen,Polo,Novo Polo,2017,2020,1.6 16V MSI EA211
JG-0004,Volkswagen,Polo,Atual,2020,2023,1.0 12V TSI EA211
JG-0004,Volkswagen,Polo,Atual,2020,2023,1.6 16V MSI EA211
PJ-0003,Volkswagen,Polo,1ª geração BR,2002,2007,1.6 8V EA111
PJ-0003,Volkswagen,Polo,1ª geração BR,2002,2007,1.8 20V Turbo EA111
PJ-0003,Volkswagen,Polo,2ª geração BR,2007,2014,1.6 8V EA111
PJ-0003,Volkswagen,Polo,2ª geração BR,2007,2014,2.0 8V EA111
PJ-0003,Volkswagen,Polo,Novo Polo,2017,2020,1.0 12V MPI EA211
PJ-0003,Volkswagen,Polo,Novo Polo,2017,2020,1.0 12V TSI EA211
PJ-0003,Volkswagen,Polo,Novo Polo,2017,2020,1.6 16V MSI EA211
PJ-0003,Volkswagen,Polo,Atual,2020,2023,1.0 12V TSI EA211
PJ-0003,Volkswagen,Polo,Atual,2020,2023,1.6 16V MSI EA211
TT-0003,Fiat,Palio,2ª geração,1996,2000,1.0 8V Fire
TT-0003,Fiat,Palio,2ª geração,1996,2000,1.6 16V
TT-0003,Fiat,Palio,Facelift,2001,2004,1.0 8V Fire
TT-0003,Fiat,Palio,Facelift,2001,2004,1.5 8V
TT-0003,Fiat,Palio,3ª geração,2004,2011,1.0 8V Fire
TT-0003,Fiat,Palio,3ª geração,2004,2011,1.4 8V Fire
TT-0003,Fiat,Palio,3ª geração,2004,2011,1.8 8V
TT-0003,Fiat,Palio,Atual,2012,2017,1.0 Fire Evo
TT-0003,Fiat,Palio,Atual,2012,2017,1.4 Fire Evo
IB-0006,Fiat,Palio,2ª geração,1996,2000,1.0 8V Fire
IB-0006,Fiat,Palio,2ª geração,1996,2000,1.6 16V
IB-0006,Fiat,Palio,Facelift,2001,2004,1.0 8V Fire
IB-0006,Fiat,Palio,Facelift,2001,2004,1.5 8V
IB-0006,Fiat,Palio,3ª geração,2004,2011,1.0 8V Fire
IB-0006,Fiat,Palio,3ª geração,2004,2011,1.4 8V Fire
IB-0006,Fiat,Palio,3ª geração,2004,2011,1.8 8V
IB-0006,Fiat,Palio,Atual,2012,2017,1.0 Fire Evo
IB-0006,Fiat,Palio,Atual,2012,2017,1.4 Fire Evo
AN-0008,Fiat,Palio,2ª geração,1996,2000,1.0 8V Fire
AN-0008,Fiat,Palio,2ª geração,1996,2000,1.6 16V
AN-0008,Fiat,Palio,Facelift,2001,2004,1.0 8V Fire
AN-0008,Fiat,Palio,Facelift,2001,2004,1.5 8V
AN-0008,Fiat,Palio,3ª geração,2004,2011,1.0 8V Fire
AN-0008,Fiat,Palio,3ª geração,2004,2011,1.4 8V Fire
AN-0008,Fiat,Palio,3ª geração,2004,2011,1.8 8V
AN-0008,Fiat,Palio,Atual,2012,2017,1.0 Fire Evo
AN-0008,Fiat,Palio,Atual,2012,2017,1.4 Fire Evo
IB-0007,Fiat,Palio,2ª geração,1996,2000,1.0 8V Fire
IB-0007,Fiat,Palio,2ª geração,1996,2000,1.6 16V
IB-0007,Fiat,Palio,Facelift,2001,2004,1.0 8V Fire
IB-0007,Fiat,Palio,Facelift,2001,2004,1.5 8V
IB-0007,Fiat,Palio,3ª geração,2004,2011,1.0 8V Fire
IB-0007,Fiat,Palio,3ª geração,2004,2011,1.4 8V Fire
IB-0007,Fiat,Palio,3ª geração,2004,2011,1.8 8V
IB-0007,Fiat,Palio,Atual,2012,2017,1.0 Fire Evo
IB-0007,Fiat,Palio,Atual,2012,2017,1.4 Fire Evo
VG-0006,Fiat,Palio,2ª geração,1996,2000,1.0 8V Fire
VG-0006,Fiat,Palio,2ª geração,1996,2000,1.6 16V
VG-0006,Fiat,Palio,Facelift,2001,2004,1.0 8V Fire
VG-0006,Fiat,Palio,Facelift,2001,2004,1.5 8V
VG-0006,Fiat,Palio,3ª geração,2004,2011,1.0 8V Fire
VG-0006,Fiat,Palio,3ª geração,2004,2011,1.4 8V Fire
VG-0006,Fiat,Palio,3ª geração,2004,2011,1.8 8V
VG-0006,Fiat,Palio,Atual,2012,2017,1.0 Fire Evo
VG-0006,Fiat,Palio,Atual,2012,2017,1.4 Fire Evo
PJ-0004,Fiat,Palio,2ª geração,1996,2000,1.0 8V Fire
PJ-0004,Fiat,Palio,2ª geração,1996,2000,1.6 16V
PJ-0004,Fiat,Palio,Facelift,2001,2004,1.0 8V Fire
PJ-0004,Fiat,Palio,Facelift,2001,2004,1.5 8V
PJ-0004,Fiat,Palio,3ª geração,2004,2011,1.0 8V Fire
PJ-0004,Fiat,Palio,3ª geração,2004,2011,1.4 8V Fire
PJ-0004,Fiat,Palio,3ª geração,2004,2011,1.8 8V
PJ-0004,Fiat,Palio,Atual,2012,2017,1.0 Fire Evo
PJ-0004,Fiat,Palio,Atual,2012,2017,1.4 Fire Evo
TT-0004,Fiat,Uno,Mille,2004,2010,1.0 8V Fire
TT-0004,Fiat,Uno,Mille,2004,2010,1.5 8V
TT-0004,Fiat,Uno,Novo Uno 1ª,2010,2014,1.0 8V Fire
TT-0004,Fiat,Uno,Novo Uno 1ª,2010,2014,1.4 8V Fire
TT-0004,Fiat,Uno,Novo Uno 2ª,2014,2021,1.0 Fire Evo
TT-0004,Fiat,Uno,Novo Uno 2ª,2014,2021,1.3 Firefly
TT-0004,Fiat,Uno,Atual,2021,2023,1.0 Firefly
TT-0004,Fiat,Uno,Atual,2021,2023,1.3 Firefly
VG-0007,Fiat,Uno,Mille,2004,2010,1.0 8V Fire
VG-0007,Fiat,Uno,Mille,2004,2010,1.5 8V
VG-0007,Fiat,Uno,Novo Uno 1ª,2010,2014,1.0 8V Fire
VG-0007,Fiat,Uno,Novo Uno 1ª,2010,2014,1.4 8V Fire
VG-0007,Fiat,Uno,Novo Uno 2ª,2014,2021,1.0 Fire Evo
VG-0007,Fiat,Uno,Novo Uno 2ª,2014,2021,1.3 Firefly
VG-0007,Fiat,Uno,Atual,2021,2023,1.0 Firefly
VG-0007,Fiat,Uno,Atual,2021,2023,1.3 Firefly
AN-0009,Fiat,Uno,Mille,2004,2010,1.0 8V Fire
AN-0009,Fiat,Uno,Mille,2004,2010,1.5 8V
AN-0009,Fiat,Uno,Novo Uno 1ª,2010,2014,1.0 8V Fire
AN-0009,Fiat,Uno,Novo Uno 1ª,2010,2014,1.4 8V Fire
AN-0009,Fiat,Uno,Novo Uno 2ª,2014,2021,1.0 Fire Evo
AN-0009,Fiat,Uno,Novo Uno 2ª,2014,2021,1.3 Firefly
AN-0009,Fiat,Uno,Atual,2021,2023,1.0 Firefly
AN-0009,Fiat,Uno,Atual,2021,2023,1.3 Firefly
PJ-0005,Fiat,Uno,Mille,2004,2010,1.0 8V Fire
PJ-0005,Fiat,Uno,Mille,2004,2010,1.5 8V
PJ-0005,Fiat,Uno,Novo Uno 1ª,2010,2014,1.0 8V Fire
PJ-0005,Fiat,Uno,Novo Uno 1ª,2010,2014,1.4 8V Fire
PJ-0005,Fiat,Uno,Novo Uno 2ª,2014,2021,1.0 Fire Evo
PJ-0005,Fiat,Uno,Novo Uno 2ª,2014,2021,1.3 Firefly
PJ-0005,Fiat,Uno,Atual,2021,2023,1.0 Firefly
PJ-0005,Fiat,Uno,Atual,2021,2023,1.3 Firefly
PJ-0006,Fiat,Uno,Mille,2004,2010,1.0 8V Fire
PJ-0006,Fiat,Uno,Mille,2004,2010,1.5 8V
PJ-0006,Fiat,Uno,Novo Uno 1ª,2010,2014,1.0 8V Fire
PJ-0006,Fiat,Uno,Novo Uno 1ª,2010,2014,1.4 8V Fire
PJ-0006,Fiat,Uno,Novo Uno 2ª,2014,2021,1.0 Fire Evo
PJ-0006,Fiat,Uno,Novo Uno 2ª,2014,2021,1.3 Firefly
PJ-0006,Fiat,Uno,Atual,2021,2023,1.0 Firefly
PJ-0006,Fiat,Uno,Atual,2021,2023,1.3 Firefly
PJ-0007,Fiat,Uno,Mille,2004,2010,1.0 8V Fire
PJ-0007,Fiat,Uno,Mille,2004,2010,1.5 8V
PJ-0007,Fiat,Uno,Novo Uno 1ª,2010,2014,1.0 8V Fire
PJ-0007,Fiat,Uno,Novo Uno 1ª,2010,2014,1.4 8V Fire
PJ-0007,Fiat,Uno,Novo Uno 2ª,2014,2021,1.0 Fire Evo
PJ-0007,Fiat,Uno,Novo Uno 2ª,2014,2021,1.3 Firefly
PJ-0007,Fiat,Uno,Atual,2021,2023,1.0 Firefly
PJ-0007,Fiat,Uno,Atual,2021,2023,1.3 Firefly
AN-0010,Fiat,Siena,1ª geração,1996,2001,1.0 8V Fire
AN-0010,Fiat,Siena,1ª geração,1996,2001,1.5 8V
AN-0010,Fiat,Siena,2ª geração,2001,2004,1.0 8V Fire
AN-0010,Fiat,Siena,2ª geração,2001,2004,1.4 8V Fire
AN-0010,Fiat,Siena,3ª geração,2004,2012,1.0 8V Fire
AN-0010,Fiat,Siena,3ª geração,2004,2012,1.4 8V Fire
AN-0010,Fiat,Siena,3ª geração,2004,2012,1.8 8V
AN-0010,Fiat,Siena,Atual,2012,2016,1.0 Fire Evo
AN-0010,Fiat,Siena,Atual,2012,2016,1.4 Fire Evo
IB-0008,Fiat,Siena,1ª geração,1996,2001,1.0 8V Fire
IB-0008,Fiat,Siena,1ª geração,1996,2001,1.5 8V
IB-0008,Fiat,Siena,2ª geração,2001,2004,1.0 8V Fire
IB-0008,Fiat,Siena,2ª geração,2001,2004,1.4 8V Fire
IB-0008,Fiat,Siena,3ª geração,2004,2012,1.0 8V Fire
IB-0008,Fiat,Siena,3ª geração,2004,2012,1.4 8V Fire
IB-0008,Fiat,Siena,3ª geração,2004,2012,1.8 8V
IB-0008,Fiat,Siena,Atual,2012,2016,1.0 Fire Evo
IB-0008,Fiat,Siena,Atual,2012,2016,1.4 Fire Evo
IB-0009,Fiat,Siena,1ª geração,1996,2001,1.0 8V Fire
IB-0009,Fiat,Siena,1ª geração,1996,2001,1.5 8V
IB-0009,Fiat,Siena,2ª geração,2001,2004,1.0 8V Fire
IB-0009,Fiat,Siena,2ª geração,2001,2004,1.4 8V Fire
IB-0009,Fiat,Siena,3ª geração,2004,2012,1.0 8V Fire
IB-0009,Fiat,Siena,3ª geração,2004,2012,1.4 8V Fire
IB-0009,Fiat,Siena,3ª geração,2004,2012,1.8 8V
IB-0009,Fiat,Siena,Atual,2012,2016,1.0 Fire Evo
IB-0009,Fiat,Siena,Atual,2012,2016,1.4 Fire Evo
VG-0008,Fiat,Siena,1ª geração,1996,2001,1.0 8V Fire
VG-0008,Fiat,Siena,1ª geração,1996,2001,1.5 8V
VG-0008,Fiat,Siena,2ª geração,2001,2004,1.0 8V Fire
VG-0008,Fiat,Siena,2ª geração,2001,2004,1.4 8V Fire
VG-0008,Fiat,Siena,3ª geração,2004,2012,1.0 8V Fire
VG-0008,Fiat,Siena,3ª geração,2004,2012,1.4 8V Fire
VG-0008,Fiat,Siena,3ª geração,2004,2012,1.8 8V
VG-0008,Fiat,Siena,Atual,2012,2016,1.0 Fire Evo
VG-0008,Fiat,Siena,Atual,2012,2016,1.4 Fire Evo
PJ-0008,Fiat,Siena,1ª geração,1996,2001,1.0 8V Fire
PJ-0008,Fiat,Siena,1ª geração,1996,2001,1.5 8V
